VIN,predicted price,Stock #,Cab Type,Drivetrain,Rear Wheels,Fuel Type,Transmission,Color,Vehicle Trim
1FTER1FH9MLD23997,43242.33,G10138T,Super,4x4,SRW,Gasoline,AUTOMATIC,CARBONIZED GRA,XLT C
1FTER4EH1MLD12768,44075.67,G10228T,SuperCrew,4x2,SRW,Gasoline,AUTOMATIC,VELOCITY BLUE,XLT C
1FTEW1CP3MFA52597,44075.67,G10201,SuperCrew,4x2,SRW,Gasoline,AUTOMATIC,VELOCITY BLUE,XL STX C
1FT7W2BTXMED70834,52811.67,G10656,Crew,4x4,SRW,Diesel,AUTOMATIC,CARBONIZED GRA,XLT C
1FTER1EHXMLD00052,43242.33,G10295,Super,4x2,SRW,Gasoline,AUTOMATIC,VELOCITY BLUE,XLT C
1FTER4FH5MLD00069,44075.67,G10271,SuperCrew,4x4,SRW,Gasoline,AUTOMATIC,CARBONIZED GRA,XL STX C
1FT7W2BT2MEC61672,52811.67,G10340,Crew,4x4,SRW,Diesel,AUTOMATIC,CARBONIZED GRA,XL STX C
1FTER4EH1MLD10275,44075.67,G10304,SuperCrew,4x2,SRW,Gasoline,AUTOMATIC,RAPID RED,XLT C
1FTEW1EP5MFA60794,44075.67,G10316,SuperCrew,4x4,SRW,Gasoline,AUTOMATIC,AGATE BLACK,XL STX C
1FTER4EH3MLD32262,44075.67,G10580,SuperCrew,4x2,SRW,Gasoline,AUTOMATIC,CARBONIZED GRA,XLT C
1FTER4EH7MLD32264,32608.83,G10631,SuperCrew,4x2,SRW,Gasoline,ELECTRONIC 10-SPEED SELECTSHIFT AUTO,RED,C
1FTER4EHXLLA51140,44075.67,G02240T,SuperCrew,4x2,SRW,Gasoline,AUTOMATIC,RACE RED,XLT C
1FTER4EH5MLD10456,44075.67,G10227T,SuperCrew,4x2,SRW,Gasoline,AUTOMATIC,VELOCITY BLUE,XL C
1FTER4EH4MLD05717,44075.67,G10363T,SuperCrew,4x2,SRW,Gasoline,AUTOMATIC,VELOCITY BLUE,XLT C
1FTER4EH8MLD10337,44075.67,G10214T,SuperCrew,4x2,SRW,Gasoline,AUTOMATIC,OXFORD WHITE,XLT C
1FTEW1CP9MFA78900,44075.67,G10509T,SuperCrew,4x2,SRW,Gasoline,AUTOMATIC,ICONIC SILVER,XLT C
1FTER4EH6MLD10336,44075.67,G10366T,SuperCrew,4x2,SRW,Gasoline,AUTOMATIC,CARBONIZED GRA,XLT C
1FT8W2BT3MEC49213,52811.67,G10032T,Crew,4x4,SRW,Diesel,AUTOMATIC,CARBONIZED GRA,XL V
1FTER4EH1LLA36171,44075.67,G01543T,SuperCrew,4x2,SRW,Gasoline,AUTOMATIC,SHADOW BLACK,XLT C
1FT7W2B68MEC61797,39452.0,MEC61797,Crew,4x4,SRW,Gasoline,AUTOMATIC,ICONIC SILVER,C
1FT7W2BNXMEC90631,39452.0,MEC90631,Crew,4x4,SRW,Gasoline,AUTOMATIC,OXFORD WHITE,600A C
1FTER4EH6MLD10272,44075.67,G10395T,SuperCrew,4x2,SRW,Gasoline,AUTOMATIC,SHADOW BLACK,XLT C
1FTFW1E86MFA78797,44075.67,G10676,SuperCrew,4x4,SRW,Gasoline,AUTOMATIC,LEAD FOOT,XL STX C
1FT7W2B68MED30309,43301.83,G10649,Crew,4x4,SRW,Gasoline,AUTOMATIC,ICONIC SILVER,XLT C
1FTFW1E56MFB04739,39063.33,G10647,SuperCrew,4x4,SRW,Gasoline,AUTOMATIC,CARBONIZED GRA,LARIAT L
1FTFW1C81MFA52594,44075.67,G10675,SuperCrew,4x2,SRW,Gasoline,AUTOMATIC,LEAD FOOT,XLT C
3C63R3AJ6LG271194,44075.67,RM23594,Regular,4x4,SRW,Gasoline,8-Speed Automatic,White,Tradesman
3C6TR5EJ4MG502763,43301.83,RM210581,Crew,4x4,SRW,Gasoline,8-Speed Automatic,White,Power Wagon
3C6UR5DL8LG116742,52811.67,PV9073,Crew,4x4,SRW,Diesel,6-Speed Automatic,Black,Big Horn
3C6MR5AJ1LG256568,44075.67,RM23574,Regular,4x4,SRW,Gasoline,8-Speed Automatic,Red,Tradesman
