Color,mean,median,var,std,max,min,count
delmonico red pearl coat  paint,62730.0,62730.0,42688800.0,6533.666658163699,67350.0,58110.0,2
delmonico red pearl-coat  paint,72315.0,72315.0,,,72315.0,72315.0,1
delmonico red pearlcoat,53580.6,51810.0,196459375.37607822,14016.396661627346,83946.0,31281.0,98
desert brown metallic,13499.0,13499.0,,,13499.0,13499.0,1
desert sand metallic,48110.0,48110.0,12500000.0,3535.5339059327375,50610.0,45610.0,2
diamond,60497.67,61465.5,46736210.66666669,6836.38871529894,70755.0,52390.0,6
diamond black cpc,51940.0,42865.0,464474620.0,21551.673252905446,86625.0,31300.0,6
diamond black cry,48278.86,44785.0,64291854.8095238,8018.220177166738,60790.0,39835.0,7
diamond black crystal pearl-coat  paint,67866.82,70450.0,164089221.36363637,12809.731510208805,86625.0,47430.0,11
diamond black crystal pearlcoa,48641.94,45350.0,165300156.29084966,12856.910837788744,72125.0,34950.0,18
diamond black crystal pearlcoat,55674.63,52720.0,206063272.1376774,14354.904114541392,89735.0,23999.0,125
dynamic blue metallic,38940.0,38940.0,,,38940.0,38940.0,1
ebony twilight metallic,65520.33,68675.0,43993877.33333333,6632.788051289845,69987.0,57899.0,3
flame red,53708.8,52910.0,483096011.7428571,21979.445210078826,122129.0,23777.0,15
flame red clear,45100.0,45100.0,,,45100.0,45100.0,1
flame red clear c,51169.0,51169.0,120125000.0,10960.155108391487,58919.0,43419.0,2
flame red clear-coat  paint,52515.0,50995.0,23204687.5,4817.124401549123,60150.0,47330.0,5
flame red clearcoat,45550.06,42178.0,120237082.23885918,10965.26708470246,68950.0,27286.0,34
g1 shadow blk,49000.0,49000.0,,,49000.0,49000.0,1
go mango,72070.0,72070.0,,,72070.0,72070.0,1
gold,64983.0,69223.0,131835554.5,11481.966490980541,72722.0,45000.0,5
golden bronze metallic,19987.0,19987.0,,,19987.0,19987.0,1
granite,58403.33,60150.0,442029033.3333333,21024.486517709138,78500.0,36560.0,3
granite crystal,58309.66,61065.0,163374417.52950826,12781.800246033743,93065.0,31400.0,61
granite crystal clearcoat metallic,45393.0,45393.0,752332050.0,27428.67204222618,64788.0,25998.0,2
granite crystal m,35919.0,35919.0,,,35919.0,35919.0,1
granite crystal metallic clear,47992.5,43512.5,155022564.4230769,12450.805774048396,66325.0,34950.0,14
granite crystal metallic clear- coat  paint,60365.0,60365.0,,,60365.0,60365.0,1
granite crystal metallic clear-coat  paint,51922.14,51195.0,103492157.14285712,10173.109511985856,68550.0,35735.0,7
granite crystal metallic clearcoat,52762.72,52247.5,153797852.47796056,12401.526215670414,76592.0,30887.0,96
graphite metallic,41694.0,36799.0,216796982.75,14724.027395722951,71990.0,27321.0,9
gray,49181.67,44950.0,230832606.52618477,15193.176314588887,114245.0,15987.0,455
green,44706.67,40675.0,243830841.8541666,15615.083792736003,75090.0,8995.0,33
guard,47858.33,50581.0,123021929.33333333,11091.525113046146,57335.0,35659.0,3
guard metallic,50763.67,52091.0,61306385.333333336,7829.839419383602,57845.0,42355.0,3
havana brown metallic,58663.5,58663.5,14316600.5,3783.728386129216,61339.0,55988.0,2
hunter met,68170.0,68170.0,,,68170.0,68170.0,1
hunter metallic,67561.0,64760.0,38032730.0,6167.0681851265435,77955.0,63040.0,5
hydro blue pearl,49919.0,49919.0,200000000.0,14142.13562373095,59919.0,39919.0,2
hydro blue pearlcoat,45311.71,39960.5,149256737.36541888,12217.067461769166,80135.0,34145.0,34
hydro-blue pearl coat,52990.0,53580.0,34600675.0,5882.233844382591,58555.0,46835.0,3
hydro-blue pearl coat  paint,54115.0,54115.0,,,54115.0,54115.0,1
iconic silver,47561.39,46020.0,151774529.36227944,12319.680570626799,76535.0,30690.0,67
iconic silver m,41548.5,41548.5,1679944.5,1296.1267299149415,42465.0,40632.0,2
iconic silver metallic,50281.18,47295.0,168854505.45252186,12994.402850940163,82369.0,31398.0,96
iconoc silver,69295.0,69295.0,,,69295.0,69295.0,1
ingot silver,48392.0,46452.0,78831975.0,8878.737241297324,62997.0,39527.0,5
ingot silver me,23900.0,23900.0,,,23900.0,23900.0,1
ingot silver metallic,38208.71,36280.5,167405879.3227513,12938.542395600492,76507.0,19900.0,28
iridescent pearl tricoat,53142.71,50000.0,108661784.09558824,10424.096320333396,75625.0,34917.0,17
iridium,40425.0,40425.0,,,40425.0,40425.0,1
